test case,coverage length,retreat length,advance length,total length,overlap rate,number of return,time
cantwell,11389.111831820488,970.482322781411,511.516810666816,12871.110965268806,21.95121951219512,13,62.80959463119507
denmark,3831.605122421365,187.98275605729685,36.38477631085024,4055.972654789506,18.36034912718205,4,8.022775173187256
eastville,11281.851947190666,806.7615433949899,306.1198410471454,12394.733331632877,23.134823998228903,12,80.20952081680298
edgemere,3126.7279220613564,149.7106781186547,22.899494936611667,3299.338095116618,9.75438596491227,4,6.144066572189331
elmira,3981.8061325481435,187.39696961967002,64.04163056034261,4233.244732728159,17.50520988389401,5,8.611639499664307
eudora,3223.4802307403456,232.26702730475887,78.08326112068517,3533.830519165775,15.703971119133575,4,6.504566192626953
greigsville,4523.575685169855,175.46803743153546,81.74011537017753,4780.783837971563,15.202876219825367,5,11.554288864135742
mosquito,23934.632826569516,3069.6429278370542,1899.5382386916285,28903.81399309853,22.67324162989879,27,339.193190574646
pablo,4027.960461480691,229.63961030678956,65.72792206135784,4323.32799384884,21.496183206106867,5,8.208195209503174
ribera,5228.776695296643,250.97770542341397,60.18376618407354,5539.938166904143,11.48561614426793,6,13.210515022277832
sands1,5784.989898732246,221.79393923934026,36.384776310850235,6043.168614282438,8.297190269658694,6,15.984232902526855
sands2,5936.936074863085,311.0782104868027,112.71067811865466,6360.72496346856,8.065106071689844,7,16.815322637557983
scioto1,9404.778787337724,817.7422074112326,322.43354954613005,10544.95454429514,13.06514341273699,10,48.91260623931885
scioto2,10994.50165876522,940.7300141024127,538.7350647362952,12473.966737603985,20.40319007532123,12,62.27265691757202
sisters1,4424.568542494924,261.6518036156094,131.02438661763938,4817.244732728181,5.245588936576051,5,9.847503900527954
swormville,6515.6072144624595,390.50461735799564,172.81118318204318,7078.923015002525,17.20862257946656,7,21.358867645263672
