test case,coverage length,retreat length,advance length,total length,overlap rate,number of return,time
cantwell,9715.256926037007,757.7300141024126,653.6589462905472,11126.645886430018,4.59620596205963,11,66.10749793052673
denmark,3362.7523086789897,159.05382386916227,97.74011537017752,3619.5462479183157,4.301745635910215,4,9.20275354385376
eastville,9646.997041407187,846.7909806465128,719.6660889654842,11213.454111019244,5.96634934691167,11,71.08654236793518
edgemere,2927.213203435594,181.61017305526659,145.4680374315354,3254.291413922384,2.6666666666666616,4,5.067132949829102
elmira,3572.823376490855,109.49747468305826,60.94112549695424,3743.261976670861,5.715986900863346,4,7.712907791137695
eudora,2992.024386617638,232.6690475583124,157.21320343559643,3381.9066376115343,7.509025270758118,4,5.8994035720825195
greigsville,4133.208152801706,170.12489168102783,115.81118318204301,4419.144227664776,5.649717514124286,5,10.57841181755066
mosquito,20686.20728625002,2621.983981546547,2449.8296526140034,25758.020920410847,6.587075006488452,24,267.4299237728119
pablo,3414.154328932548,200.53910524340097,142.22539674441617,3756.9188309203537,4.0000000000000036,4,6.410766839981079
ribera,4855.024386617639,294.3624817342645,230.0071426749368,5379.394011026858,3.9287247745813714,6,13.055361270904541
sands1,5536.705627484785,267.5512985522211,232.7523086789976,6037.009234716015,3.696021120120685,6,15.799858808517456
sands2,5598.46803743154,251.69343417595215,204.96551211459422,6055.1269837221025,2.2128749085588817,6,23.264037132263184
scioto1,8650.274169979715,687.8427124746208,596.3452377915621,9934.462120245938,4.484686436558105,10,67.39535307884216
scioto2,9524.457936163783,769.4335495461305,668.6639969244297,10962.55548263439,4.840496233938851,11,60.560548067092896
sisters1,4326.840620433566,260.26702730475876,195.26702730475876,4782.374675043063,3.0042918454935563,5,10.96511721611023
swormville,5827.102597104437,464.5046173579958,384.9066376115486,6676.513852073991,5.535257581293385,7,24.30519437789917
