name,coverage length,retreat length,advance length,total length,overlap rate,number of return,time
scenario1\map_1.txt,837.6568542494924,200.0,126.0,1163.6568542494924,1.0843373493975905,6,2.1831727027893066
scenario1\map_2.txt,796.9705627484773,272.0,158.0,1226.9705627484773,3.6363636363636376,7,2.4081902503967285
scenario1\map_3.txt,748.0121933088201,203.0,120.0,1071.01219330882,10.635155096011806,6,1.9971826076507568
scenario1\map_4.txt,659.2842712474621,199.0,124.0,982.2842712474621,13.412563667232602,6,1.8727366924285889
scenario1\map_5.txt,586.4264068711931,188.0,116.0,890.4264068711931,13.051823416506725,5,1.5701420307159424

scenario2\map_1.txt,716.2842712474621,188.0,100.0,1004.2842712474621,9.618320610687014,6,1.8718805313110352
scenario2\map_2.txt,719.1248916810284,169.0,110.0,998.1248916810284,8.3969465648855,5,1.7907888889312744
scenario2\map_3.txt,759.3259018078049,167.0,86.0,1012.3259018078049,15.725190839694658,5,1.8639640808105469
scenario2\map_4.txt,758.9238815542519,178.0,151.0,1087.923881554252,14.809160305343516,6,1.9874427318572998

scenario3\map_1.txt,1299.0365799264603,510.0,370.0,2179.03657992646,18.281535648994506,10,7.257893085479736
scenario3\map_1.txt,1408.9066376115493,284.0,211.0,1903.906637611549,27.879341864716633,10,6.454939365386963
scenario3\map_1.txt,1336.8650070512062,419.0,324.0,2079.8650070512067,21.663619744058504,10,6.531026363372803
scenario3\map_1.txt,1308.03657992646,346.0,233.0,1887.0365799264603,18.92138939670933,10,5.873471021652222
scenario3\map_1.txt,1361.4924240491762,186.0,125.0,1672.4924240491762,23.308957952468013,9,5.45862078666687
scenario3\map_1.txt,1279.622366364087,555.0,415.0,2249.6223663640862,17.09323583180986,11,6.8540308475494385
scenario3\map_1.txt,1353.9066376115493,441.0,351.0,2145.9066376115475,23.21755027422303,11,6.960276365280151

scenario4\map_1.txt,1265.1076477383256,1157.0,994.0,3416.1076477383162,15.082266910420472,26,10.79106855392456
scenario4\map_1.txt,1291.5512985522216,389.0,268.0,1948.5512985522216,17.550274223034744,9,6.058594226837158
scenario4\map_1.txt,1310.5512985522216,261.0,173.0,1744.5512985522216,19.561243144424132,7,5.389592885971069
scenario4\map_1.txt,1268.7228714274752,151.0,110.0,1529.7228714274754,15.173674588665452,5,4.598170042037964
scenario4\map_1.txt,1290.208152801714,130.0,74.0,1494.2081528017138,17.18464351005484,5,4.579696416854858

scenario5\map_1.txt,1291.5512985522216,389.0,268.0,1948.5512985522216,17.550274223034744,9,6.0160887241363525
scenario5\map_2.txt,948.2253967444166,446.0,368.0,1762.2253967444165,10.187353629976581,8,4.802350044250488
scenario5\map_3.txt,1144.5807358037443,317.0,208.0,1669.5807358037443,25.982532751091703,9,5.125609397888184
